subset,base_prompt,addition_prompt,type,full_prompt,placeholder_prompt,hash_id,compare_in_class_id,compare_in_class_hash,compare_out_class_id,compare_out_class_hash
copyrights,the spiderman,walking through a desert,train,the spiderman walking through a desert,a character walking through a desert,a6731a943722547cda87c49e55597b4a54f0c8118d011cdf0cbd3874a641d1fc,,,,
copyrights,the spiderman,crying softly,validation,the spiderman crying softly,a character crying softly,2e6d90d4da3056d4069893f719c984db425d8596fff25b0f1dfd26eaafe02e4d,109,18903d5b51d76f5579e3598d0b70aac6e40af4cbda11d1db6886fcad0fa85744,85,26be19b000484a150bf34160edf20f986cd31c73c101f20eca9b4b576559aefe
copyrights,the mickey mouse,running across a grassy field,train,the mickey mouse running across a grassy field,a character running across a grassy field,c7987b47971929d7e6ab301f9f408a9ad0fa3a0554148dde3fafa19fd8e9fcfc,,,,
copyrights,the mickey mouse,lying in a forest clearing,validation,the mickey mouse lying in a forest clearing,a character lying in a forest clearing,855744f0b73fdec4a1f8fa7cfe70ac1c8d29a18888ffacbef5bcd153bda537ae,129,207079f00525fa5ac46e0613e7aa779ea96c76c7faabfd2db49348cabe770aef,45,5a2c5aeda72b9bb4d6b86ac158cf0de0606e6d9b30542ae8b91eabc2d3adf1d0
copyrights,the iron man,as a charcoal drawing,train,the iron man as a charcoal drawing,a character as a charcoal drawing,538bdd04eca976e45708b916d8f95b752dd77457b73caeeda45cf4e50a6668a2,,,,
copyrights,the iron man,lying in a forest clearing,validation,the iron man lying in a forest clearing,a character lying in a forest clearing,a137391e0f08f956c0a5e38838d6a3f3748a8a593475c2aa6b375f1f4132eab1,129,207079f00525fa5ac46e0613e7aa779ea96c76c7faabfd2db49348cabe770aef,53,26ba3e47b25cc5690466d40111452a93c2760ce967d9833c954327d0efe05a18
copyrights,the hulk,made of clay,train,the hulk made of clay,a character made of clay,eb16ca6e293f59f571ac5ab73067fa756bee887bf151d0526c9b0c7c50041e66,,,,
copyrights,the hulk,in a snowy forest,validation,the hulk in a snowy forest,a character in a snowy forest,18903d5b51d76f5579e3598d0b70aac6e40af4cbda11d1db6886fcad0fa85744,131,cd896c96e191fa7965b70cbe3a9337cc2c3011a405435c9ef25da090d84e62c9,93,b402177547eb6406fcaa5acaa5f3974c088fc448033a067ee82f508a09ac0258
copyrights,the deadpool,basking in the sun,train,the deadpool basking in the sun,a character basking in the sun,151f8bba3373128fea17d290770be5ea70c79f8cda574e25f1b86da1361388f3,,,,
copyrights,the deadpool,looking surprised,validation,the deadpool looking surprised,a character looking surprised,7794f365328489fec8e5a2455064ba6b9e711881c306944bdd339d4b62ab2462,103,2e6d90d4da3056d4069893f719c984db425d8596fff25b0f1dfd26eaafe02e4d,87,71c12263714ce6612ecb534ccc160148190cc82397b3bd094eb681c5444ac732
copyrights,the flash,as a charcoal drawing,train,the flash as a charcoal drawing,a character as a charcoal drawing,c5b7f437dcc5154e17f47ea13c706f07bc1a4f2cb58d82eabf57bbefb4e1c7ba,,,,
copyrights,the flash,in a snowy forest,validation,the flash in a snowy forest,a character in a snowy forest,d2d1e95b6f107f1c114a96ea30f7b98b7d0890499238eff2064ecef814a8138a,143,13c1c35c67980666ef3c922786c334f6f3854d3a87696e6cecbfe9ac16077864,83,67e1444478b8b198c66538c1379e7adc7eab3b73d8bb2cd6c105b180ce3ac15d
copyrights,the wolverine,walking through autumn leaves,train,the wolverine walking through autumn leaves,a character walking through autumn leaves,320e322e09e3df53127b92101a596cf040b9e6e9ef92011ae86aea09c73beec4,,,,
copyrights,the wolverine,in watercolor on textured paper,validation,the wolverine in watercolor on textured paper,a character in watercolor on textured paper,4b7173c2ade3e2c96c2d1bf397c2c525dab4490db9cbfc82dbf96f6d0e330e7a,107,a137391e0f08f956c0a5e38838d6a3f3748a8a593475c2aa6b375f1f4132eab1,7,540c735ae969bff4172d5ab08081df15a42a445d122fc6875f25339e8ac15b48
copyrights,the superman,walking through autumn leaves,train,the superman walking through autumn leaves,a character walking through autumn leaves,caf0677f6e089a3c1fc8de1a95dac313e40ea9c9de66f68bed21921b4a29f79d,,,,
copyrights,the superman,crying softly,validation,the superman crying softly,a character crying softly,3618de0af36cb90a26cc4d98cba8fab8b0a980d73b9d62210437aa92e1e26620,127,3c048e14c0c0443c23dcf39e3e4b78732944191118a943c7463513fcd4e53583,93,b402177547eb6406fcaa5acaa5f3974c088fc448033a067ee82f508a09ac0258
copyrights,the captain america,sitting by a waterfall,train,the captain america sitting by a waterfall,a character sitting by a waterfall,31b336ab6f2b4d0e8bfc53dc108b57da547bb9a9863d7dbfe86fb7793de48df5,,,,
copyrights,the captain america,as a cartoon character,validation,the captain america as a cartoon character,a character as a cartoon character,a23b4559284d102452cd308aead1512bf3e356a7ac52d7f658d9d045b84dbc00,123,54ae9c7d1b117d0a9a59bcca2417fa97b664c770a39fcfd9019adfdbcfaf4984,13,e6158f57dcb6e716afed76aa21c54666a54f7048fa70524dcb0b33ef4c97740f
copyrights,the harry potter,made of metal,train,the harry potter made of metal,a character made of metal,70f8776a44739a27b5b6b2b8f21c16d5fe82211ac451f870354f642ca1312170,,,,
copyrights,the harry potter,walking in the street,validation,the harry potter walking in the street,a character walking in the street,8a95ce312e106ecefc740ff7db370ac681e7d201f7e7e68e1a04f49770636a35,115,4b7173c2ade3e2c96c2d1bf397c2c525dab4490db9cbfc82dbf96f6d0e330e7a,25,153fe778ed87817349998764193e20af4e060eec868add461c3d6af3c5ffcc24
copyrights,the joker,walking through a desert,train,the joker walking through a desert,a character walking through a desert,faf5cf05424fd5c07cdd09d25047024c3be2b74628d85dcf69828482798b2c3f,,,,
copyrights,the joker,as a lego sculpture,validation,the joker as a lego sculpture,a character as a lego sculpture,54ae9c7d1b117d0a9a59bcca2417fa97b664c770a39fcfd9019adfdbcfaf4984,113,d2d1e95b6f107f1c114a96ea30f7b98b7d0890499238eff2064ecef814a8138a,69,1e1a26b244fb871acae77af214a8eca99d306a2b150d3a9ffdcfb048f38ebb2c
copyrights,captain jack sparrow,in origami style,train,captain jack sparrow in origami style,a character in origami style,ca0076384e8c43a3de0893573c720826e27a7bab1d90d1b3faf316693d5ebdda,,,,
copyrights,captain jack sparrow,walking on a dirt road,validation,captain jack sparrow walking on a dirt road,a character walking on a dirt road,6606b4e9163d0b17f215656b6ed055bed4e8eb049bfefad5de834999d783f423,131,cd896c96e191fa7965b70cbe3a9337cc2c3011a405435c9ef25da090d84e62c9,17,ba1f50427b5ca19ce2909b38bf60562c9a057739d46aa1b3cf987e3311547a50
copyrights,the tom and jerry,looking up curiously,train,the tom and jerry looking up curiously,a character looking up curiously,f491726abfabe55cc83826283028055cbb7cb6c73a5ac4b88605b3ac1c5f8a3f,,,,
copyrights,the tom and jerry,lying in a forest clearing,validation,the tom and jerry lying in a forest clearing,a character lying in a forest clearing,3c048e14c0c0443c23dcf39e3e4b78732944191118a943c7463513fcd4e53583,129,207079f00525fa5ac46e0613e7aa779ea96c76c7faabfd2db49348cabe770aef,23,7362a78f128f51c957929773beb90f53412ab495a4ea871f33c017468c4f4de2
copyrights,the thor,looking into a mirror,train,the thor looking into a mirror,a character looking into a mirror,135d18fc796932def52be9f17dcfb4ca5ba1fe585d213d57f585ca163b18c86e,,,,
copyrights,the thor,under the rain,validation,the thor under the rain,a character under the rain,207079f00525fa5ac46e0613e7aa779ea96c76c7faabfd2db49348cabe770aef,117,3618de0af36cb90a26cc4d98cba8fab8b0a980d73b9d62210437aa92e1e26620,59,64f9b235c288fe70e6e4e8ae1ee922405501c2c47d196ad45698afe76775b28b
copyrights,the venom,yawning sleepily,train,the venom yawning sleepily,a character yawning sleepily,3ed2b352b20703dba5bf75c363a89991a765d287c5b95bfb305bc7a500e6dfa4,,,,
copyrights,the venom,inside a snow globe,validation,the venom inside a snow globe,a character inside a snow globe,cd896c96e191fa7965b70cbe3a9337cc2c3011a405435c9ef25da090d84e62c9,115,4b7173c2ade3e2c96c2d1bf397c2c525dab4490db9cbfc82dbf96f6d0e330e7a,9,e1c3090f1d8dc38cca66cddac9e20a3d925da037c36e37c8329eeeac95fff9e0
copyrights,winnie-the-pooh,watching something from a distance,train,winnie-the-pooh watching something from a distance,a character watching something from a distance,61a81ad049e44d2ff2c76a57b08832fe627010f9cb0c5484fefe3792181b4d3d,,,,
copyrights,winnie-the-pooh,crying softly,validation,winnie-the-pooh crying softly,a character crying softly,853d9f2d311de953dd0840ab5eb68a277112aec5bc15e0b5ccfb2c75e7e9183f,129,207079f00525fa5ac46e0613e7aa779ea96c76c7faabfd2db49348cabe770aef,71,7f0df095bfd9c2dc46031d5d3902e9ad2adfd89a676cb497d70ff39824678d1a
copyrights,the king kong,on a hot summer day,train,the king kong on a hot summer day,a character on a hot summer day,593202b76ea35998657602cfcb36c4e680f609c1fdad42d44770f84928e888cc,,,,
copyrights,the king kong,inside a snow globe,validation,the king kong inside a snow globe,a character inside a snow globe,cf155e3d581b938181091f95e1b6b8b0d6efb8dd0ddbc913e77f5e6d013130cd,107,a137391e0f08f956c0a5e38838d6a3f3748a8a593475c2aa6b375f1f4132eab1,7,540c735ae969bff4172d5ab08081df15a42a445d122fc6875f25339e8ac15b48
copyrights,popeye the sailor,running across a grassy field,train,popeye the sailor running across a grassy field,a character running across a grassy field,a1109268eb3f2618fd6a11f2f1c2dbb17c040f51da439c598258b07a28207d24,,,,
copyrights,popeye the sailor,walking in the street,validation,popeye the sailor walking in the street,a character walking in the street,8c488e84335a760c314b1aba4bdd0eb81e7d7aea6917070b8ed3a595269cd121,143,13c1c35c67980666ef3c922786c334f6f3854d3a87696e6cecbfe9ac16077864,69,1e1a26b244fb871acae77af214a8eca99d306a2b150d3a9ffdcfb048f38ebb2c
copyrights,peter pan,as a charcoal drawing,train,peter pan as a charcoal drawing,a character as a charcoal drawing,c82181e9b328e5052d4db827c36c3cf583d31ede5ba7b90ef5c8d1a241f9300b,,,,
copyrights,peter pan,looking surprised,validation,peter pan looking surprised,a character looking surprised,9f6faf448efec380d45af6bc34e35eabbf72b8013db7f4e5bd57cf4f09e62dca,155,0e6b9c8b7fe183b60de70dd7012a0ab4153b304796ee093961742bc8b7bc8a89,1,4b6c8bfeac17bcc48f4ee2840d0f88c367c4af8d142ac5a0b05f25079100a4b4
copyrights,the scooby-doo,made of plastic,train,the scooby-doo made of plastic,a character made of plastic,bd0268db164db31b72ea50fef65c7bb899c9e8f10acf51120b693a4c0ecdabeb,,,,
copyrights,the scooby-doo,made of stone,validation,the scooby-doo made of stone,a character made of stone,5e6b328d296985fcb8b899f11e6349d84671dee37b233b88ec5ec89d5bd68f4d,105,855744f0b73fdec4a1f8fa7cfe70ac1c8d29a18888ffacbef5bcd153bda537ae,97,a98059851aabb22c9e497d401fd06e516a6b0fd1a0d588bf2c51b5b81f4ba743
copyrights,the r2-d2,looking up curiously,train,the r2-d2 looking up curiously,a character looking up curiously,a446d3b15f5d984447d6724cbd01e72b5d6292ef05899368adb36d0a3ac119e4,,,,
copyrights,the r2-d2,made of stone,validation,the r2-d2 made of stone,a character made of stone,13c1c35c67980666ef3c922786c334f6f3854d3a87696e6cecbfe9ac16077864,157,a61d660175584029af472c89a7283f27086781f4304bd2638e1cdccae38f4215,31,904ab7ba9131f7c548bc8ddf1f05424246d90fed55952acc9abc08fecc1fd730
copyrights,the ben 10,basking in the sun,train,the ben 10 basking in the sun,a character basking in the sun,739d8aeb65522c18cc432050ae4c6028b1adfc140b7b5374968a2d15b168e7f3,,,,
copyrights,the ben 10,resting under a tree,validation,the ben 10 resting under a tree,a character resting under a tree,9482886d28e10f5f4608e5308595ed9fdf884fe855469dc31f9c819742d6e535,111,7794f365328489fec8e5a2455064ba6b9e711881c306944bdd339d4b62ab2462,53,26ba3e47b25cc5690466d40111452a93c2760ce967d9833c954327d0efe05a18
copyrights,the iron giant,as a charcoal drawing,train,the iron giant as a charcoal drawing,a character as a charcoal drawing,579ffdc43975adddb967fe4ff8f0183135f2c8fc1fabccdd9738f2e72c67ef51,,,,
copyrights,the iron giant,resting under a tree,validation,the iron giant resting under a tree,a character resting under a tree,3bb15d4003a8ec75c391419bb54564433a428592c724eebb3356683fd1d889fa,131,cd896c96e191fa7965b70cbe3a9337cc2c3011a405435c9ef25da090d84e62c9,61,b9b7fcb89f8a12a5793108163f8f970b8d6a08311708341c189ca35f70dc1881
copyrights,the wall-e,as a paper cutout,train,the wall-e as a paper cutout,a character as a paper cutout,6da514bb3ed8dc1444de0cbec132a531667705e08ab668ecb96c440e19761a7d,,,,
copyrights,the wall-e,in graffiti style,validation,the wall-e in graffiti style,a character in graffiti style,35c2d0da08847027ceb7cca2d39cb09b55fd15e5ab754c51e9fc3b57da1133d9,113,d2d1e95b6f107f1c114a96ea30f7b98b7d0890499238eff2064ecef814a8138a,51,61050646fb1936d82023111a0b7a2f5bd933bd00b53eb4fc7ceef308e82df8db
copyrights,mike wazowski,made of wood,train,mike wazowski made of wood,a character made of wood,9f3ebd44d33e7d92bb0266a13b66200069479123ac4da22940e732dc4abf2a48,,,,
copyrights,mike wazowski,in watercolor on textured paper,validation,mike wazowski in watercolor on textured paper,a character in watercolor on textured paper,e0d882da3998ccde9f4a9f8a83a043ab3fc0a78240c318760c2973af59a036ad,159,b0135577112be485d6d8df712528ffc3625eeabca5b00b97a412adee27a558f2,7,540c735ae969bff4172d5ab08081df15a42a445d122fc6875f25339e8ac15b48
copyrights,the c-3po,looking into a mirror,train,the c-3po looking into a mirror,a character looking into a mirror,48e4237289a23ba800efde8104b7dd79b0a98c6c4a4d6bfe3355fdd4725f2ba8,,,,
copyrights,the c-3po,sleeping peacefully,validation,the c-3po sleeping peacefully,a character sleeping peacefully,fa9e0c60341651b6fc803c7a4bc507fade5156d3a72d30587c3e1607e230667a,111,7794f365328489fec8e5a2455064ba6b9e711881c306944bdd339d4b62ab2462,49,e14f3541c44929a9f10f41ec9c8de14b22772ff86e0ab5ad40687768b21fa1f1
copyrights,the baymax,made of plastic,train,the baymax made of plastic,a character made of plastic,5e2f6472a47faf45b6dbc80ff92dfa0d56759275467a5395e4704a600604d865,,,,
copyrights,the baymax,in a snowy forest,validation,the baymax in a snowy forest,a character in a snowy forest,0e6b9c8b7fe183b60de70dd7012a0ab4153b304796ee093961742bc8b7bc8a89,101,6b66f45b1f3a0f65b2c2fa1c866095116da2a847e368a137195639597cc103b4,49,e14f3541c44929a9f10f41ec9c8de14b22772ff86e0ab5ad40687768b21fa1f1
copyrights,the patrick star,as a charcoal drawing,train,the patrick star as a charcoal drawing,a character as a charcoal drawing,838317514cec129210410a2a5f3a91ff3da58b0372fff30af6d9c3980cb62c61,,,,
copyrights,the patrick star,walking in the street,validation,the patrick star walking in the street,a character walking in the street,a61d660175584029af472c89a7283f27086781f4304bd2638e1cdccae38f4215,117,3618de0af36cb90a26cc4d98cba8fab8b0a980d73b9d62210437aa92e1e26620,59,64f9b235c288fe70e6e4e8ae1ee922405501c2c47d196ad45698afe76775b28b
copyrights,the spongebob,looking into a mirror,train,the spongebob looking into a mirror,a character looking into a mirror,c7bc90a714b2c0f0f8d0a74ab9a2e962540f35a43a1e5bfed3e4709bd8cf9027,,,,
copyrights,the spongebob,walking in the street,validation,the spongebob walking in the street,a character walking in the street,b0135577112be485d6d8df712528ffc3625eeabca5b00b97a412adee27a558f2,119,a23b4559284d102452cd308aead1512bf3e356a7ac52d7f658d9d045b84dbc00,55,51680c6453400f37c126d3f4ec738a43c5ce72d8a4349d624f8d826130b60cc3
copyrights,the buzz lightyear,looking up curiously,train,the buzz lightyear looking up curiously,a character looking up curiously,0eddd8f7a682c04126cee8a101246e1ac541b5afe399c0209d802d153c11dba8,,,,
copyrights,the buzz lightyear,walking on a dirt road,validation,the buzz lightyear walking on a dirt road,a character walking on a dirt road,d3c8b01e142f353ba875e6a964e4b90f2bfa4dad38ef5bb72e924eb5452b1acc,145,9482886d28e10f5f4608e5308595ed9fdf884fe855469dc31f9c819742d6e535,93,b402177547eb6406fcaa5acaa5f3974c088fc448033a067ee82f508a09ac0258
